top depth (m),bottom depth (m),delta D (per mil),delta 18O  (per mil),Deuterium Excess (per mil)
1600,1600.5,-278.2,-35.66,7.1
1600.5,1601,-287.7,-36.79,6.6
1601,1601.5,-264.3,-33.83,6.3
1601.5,1602,999999,999999,999999
1602,1602.5,-279.7,-35.86,7.1
1602.5,1603,-277.7,-35.56,6.8
1603,1603.5,-277.7,-35.66,7.6
1603.5,1604,-281.4,-36.39,9.7
1604,1604.5,-274.3,-35.19,7.2
1604.5,1605,-280.8,-35.96,6.9
1605,1605.5,-278.7,-35.73,7.1
1605.5,1606,-273.9,-35.07,6.6
1606,1606.5,-280.2,-35.91,7.1
1606.5,1607,-269.3,-34.57,7.2
1607,1607.5,-278.6,-35.79,7.7
1607.5,1608,-269.9,-34.73,7.9
1608,1608.5,-272.1,-34.97,7.7
1608.5,1609,-282.2,-36.04,6.1
1609,1609.5,-280.9,-35.95,6.7
1609.5,1610,-282.8,-36.28,7.4
1610,1610.5,-272.2,-34.96,7.4
1610.5,1611,-275,-35.22,6.8
1611,1611.5,-278.8,-35.82,7.8
1611.5,1612,-278.5,-35.7,7.1
1612,1612.5,-280.7,-36,7.3
1612.5,1613,-275.3,-35.4,8
1613.2,1613.5,-268,-34.48,7.9
1613.5,1613.8,-264.7,-34.03,7.5
1614,1614.5,-283.5,-36.46,8.2
1614.5,1615,-281,-36,7
1615,1615.5,-281.4,-36.07,7.2
1615.5,1616,-287.3,-36.77,6.9
1616,1616.5,-282.2,-36.23,7.7
1616.5,1617,-267.1,-34.39,8
1617,1617.5,-278.5,-35.73,7.3
1617.5,1618,-278.9,-35.72,6.9
1618,1618.5,-278.7,-35.66,6.6
1618.5,1619,-280.3,-35.92,7
1619,1619.5,-280.5,-35.63,4.5
1619.5,1620,-292.3,-37.3,6
1620,1620.5,-277.7,-35.54,6.6
1620.5,1621,-272.4,-34.87,6.5
1621,1621.5,-277.7,-35.36,5.2
1621.5,1622,-278.6,-35.69,6.9
1639,1639.5,-284.3,-36.13,4.7
1639.5,1640,-285.8,-36.6,7
1640,1640.5,-277.4,-35.56,7
1640.5,1641,-296.5,-37.43,3
1641,1641.5,-280.7,-35.77,5.4
1641.5,1642,-279.5,-35.32,3.1
1642,1642.5,-279.7,-35.66,5.6
1642.5,1643,-287.3,-36.3,3.1
1643,1643.5,-284.8,-36.15,4.4
1643.5,1644,-292.8,-37.05,3.5
1644,1644.5,-291,-36.71,2.7
1644.5,1645,-287.1,-36.3,3.3
1645,1645.5,-284.6,-35.87,2.3
1645.5,1646,-282.6,-35.94,4.9
1646.5,1647,-283.1,-36.04,5.2
1647,1647.5,-289.7,-36.57,2.8
1647.5,1648,-291.4,-36.84,3.3
1648,1648.5,-290.4,-36.66,2.9
1648.5,1649,-283.3,-36.15,5.9
1649,1649.5,-290,-36.58,2.6
1649.5,1650,-284.6,-36.2,5
1650,1650.5,-277.1,-35.32,5.4
1650.5,1651,-281.8,-35.67,3.5
1651,1651.5,-278,-35.44,5.5
1651.5,1652,-271,-34.26,3.1
1652,1652.5,-286.9,-36.29,3.5
1652.5,1653,-285.1,-36.33,5.6
1653,1653.75,-278,-35.57,6.6
1654.2,1654.5,-294.5,-37.19,3
1654.5,1655,-291.5,-37.33,7.2
1655,1655.5,-289.1,-36.66,4.2
1655.5,1656,-282.7,-35.68,2.8
1656,1656.5,-275.4,-34.82,3.2
1656.5,1657,-289.1,-36.97,6.6
1657,1657.5,-284.1,-36,3.9
1657.5,1658,-285.3,-36.32,5.3
1658,1658.5,-287.5,-36.31,3
1658.5,1659,-275.7,-35.06,4.8
1659,1659.5,-290.9,-36.86,3.9
1659.5,1660,-294.7,-37.44,4.8
1660,1660.5,-294.8,-37.5,5.2
1660.5,1661,-296.2,-37.7,5.4
1661.01,1661.5,-294.7,-37.71,7
1661.5,1662,-294.1,-37.91,9.2
1662.5,1663,-292.6,-37.03,3.7
1663,1663.5,-296.1,-37.6,4.7
1663.5,1664,-301.2,-38.43,6.2
1664,1664.5,-286.9,-36.76,7.2
1664.5,1665,-287.6,-36.81,6.9
1665,1665.5,-290.8,-36.89,4.3
1665.5,1666,-281.3,-35.64,3.8
1666,1666.5,-297.3,-37.52,2.8
1666.5,1667,-295.9,-37.75,6.1
1667,1667.5,-281.6,-35.77,4.6
1667.5,1668,-284.4,-36.06,4.1
1668,1668.5,-282,-36.01,6.1
1668.5,1669,-280.5,-35.64,4.6
1669,1669.5,-292.4,-37.14,4.7
1669.5,1670,-282.4,-35.98,5.5
1670,1670.5,-279,-35.14,2.1
1670.5,1671,-277.8,-35.39,5.3
1671,1671.5,-288.2,-36.22,1.5
1671.5,1672,-280.4,-35.43,3
1672,1672.5,-286.6,-36.28,3.6
1672.5,1673,-279.3,-35.28,2.9
1673,1673.4,-289.7,-36.64,3.4
1674,1674.5,-287.3,-36.59,5.4
1674.5,1675,-281.5,-35.95,6.1
1679.5,1680,-309.9,-39.86,9
1681.01,1681.5,-318.7,-40.48,5.1
1681.5,1681.8,-304.7,-38.83,5.9
1682.27,1682.5,-309.1,-39.4,6.1
1682.3,1682.5,-308.9,-39.57,7.6
1682.5,1683,-307.2,-39.25,6.9
1682.5,1683,-307.7,-38.99,4.2
1683,1683.5,-314.2,-39.93,5.3
