title
Top	Bottom	length	deuterium
91.49	92.61	1.12	999999
92.61	93.85	1.24	999999
93.85	95.31	1.46	-272.46
95.31	96.63	1.32	-266.5
96.63	97.97	1.34	-267.65
97.97	99.33	1.36	-268.72
99.33	100.7	1.37	-274.71
100.7	101.92	1.22	-267.58
101.92	103.16	1.24	-272.54
103.16	104.27	1.11	-269.81
104.27	105.67	1.4	-267.67
105.67	106.88	1.21	-273.44
106.88	108.17	1.29	-265.09
108.17	109.39	1.22	-275.35
109.39	110.84	1.45	-275.62
110.84	112.21	1.37	-272.86
112.21	113.27	1.06	-270.13
113.27	114.64	1.37	-269.02
114.64	115.98	1.34	-261.95
115.98	117.22	1.24	-269.6
117.22	118.29	1.07	-271.41
118.29	119.54	1.25	-270.47
119.54	120.76	1.22	-270.73
120.76	121.91	1.15	-266.15
121.91	123.31	1.4	-268.31
123.31	124.46	1.15	-269.65
124.46	125.79	1.33	-260.83
125.79	126.94	1.15	-261.28
126.94	128.08	1.14	-273.79
128.08	129.1	1.02	-268.6
129.1	130.23	1.13	-264.4
130.23	131.45	1.22	-265.23
131.45	132.61	1.16	-266.59
132.61	133.98	1.37	-269.85
133.98	135.16	1.18	-261.23
135.16	136.44	1.28	-266.48
136.44	137.65	1.21	-270.3
137.65	138.73	1.08	-266.75
138.73	139.73	1	-270.22
139.73	141.07	1.34	-266.76
141.07	142.24	1.17	-269.36
142.24	143.51	1.27	-271.23
143.51	144.64	1.13	-257.98
144.64	145.97	1.33	-267.94
145.97	147.13	1.16	-266.18
147.13	148.38	1.25	-271.08
148.38	149.21	0.83	-269.79
149.21	150.19	0.98	-263.99
150.19	151.24	1.05	-271.19
151.24	152.49	1.25	-273.3
152.49	153.64	1.15	-266.11
153.64	154.68	1.04	-268.18
154.68	155.93	1.25	-269.59
155.93	157.12	1.19	-267.13
157.12	158.23	1.11	-261.64
158.23	159.6	1.37	-268.31
159.6	160.82	1.22	-266.69
160.82	162.05	1.23	-272.79
162.05	163.23	1.18	-262.31
163.23	164.57	1.34	-265.52
164.57	165.52	0.95	-264.3
165.52	166.72	1.2	-264.46
166.72	167.95	1.23	-267.94
167.95	169.28	1.33	-262.26
169.28	170.43	1.15	-272.65
170.43	171.65	1.22	-268.92
171.65	172.92	1.27	-269.99
172.92	174.01	1.09	-261.12
174.01	175.32	1.31	-269.93
175.32	176.45	1.13	-268.77
176.45	177.57	1.12	-271.54
177.57	178.75	1.18	-270.21
178.75	179.99	1.24	-263.2
179.99	181.12	1.13	-269.14
181.12	182.35	1.23	-276.49
182.35	183.47	1.12	-267.34
183.47	184.65	1.18	-269.98
184.65	185.77	1.12	-271.49
185.77	186.94	1.17	-266.34
186.94	188.12	1.18	-276.62
188.12	189.32	1.2	-267.82
189.32	190.31	0.99	-264.44
190.31	191.54	1.23	-268
191.54	192.63	1.09	-279.51
192.63	193.78	1.15	-271.75
193.78	194.94	1.16	-252.92
